DISTINCT SPP LIST,Month,73 2011  ,78 2011  ,84 2011  ,86 2011  ,89 2011  ,90 2011  ,94 2011  ,99 2011  ,102 2011  ,107 2011  ,119 2011  ,F4 2011  ,74 2011  ,112 2011  ,71 2012  ,73 2012  ,78 2012  ,86 2012  ,84 2012  ,89 2012  ,90 2012  ,94 2012  ,99 2012  ,102 2012  ,107 2012  ,108 2012  ,119 2012  ,F4 2012  ,74 2012  ,112 2012  ,71 2013  ,73 2013  ,78 2013  ,84 2013  ,86 2013  ,90 2013  ,94 2013  ,99 2013  ,102 2013  ,107 2013  ,108 2013  ,119 2013  ,E3 2013  ,F4 2013  ,F5 2013  ,New2 2013  ,71 2014  ,73 2014  ,78 2014  ,84 2014  ,89 2014  ,90 2014  ,94 2014  ,99 2014  ,102 2014  ,107 2014  ,108 2014  ,119 2014  ,E3 2014  ,F4 2014  ,F5 2014  ,New2 2014  ,73 2015  ,78 2015  ,89 2015  ,90 2015  ,94 2015  ,102 2015  ,71 2015  ,107 2015  ,108 2015  ,E3 2015  ,119 2015  ,99 2015  ,F5 2015  ,F4 2015  ,new2 2015  ,84 2015  ,73 2016  ,78 2016  ,89 2016  ,90 2016  ,94 2016  ,102 2016  ,71 2016  ,107 2016,108 2016,E3 2016,119 2016,99 2016,F5 2016,F4 2016,new2 2016,84 2016
Shortfin pipefish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silversides,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slippery dick,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spadefish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spanish hogfish,March,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,3,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
spiney lobster,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotfin butterflyfish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotted drum,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotted goatfish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotted moray eel,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
squirrelfish,March,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,
stonecrab ,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoplight parrotfish,March,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,1,,,,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
striped parrotfish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunshinefish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tan hamlet,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threespot damselfish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiger grouper,March,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toby sharpnose,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomtate grunt,March,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white grunt,March,,8,20,,16,,,,101,,1,1,9,5,11,6,25,32,1,,18,1,,30,26,6,,56,200,25,34,,8,,35,,4,7,48,50,2,8,129,,,17,16,,,,151,18,,,3,,,6,12,,,53,,,50,,,3,,,,10,,,2,,,3,2,2,8,,1,,2,1,6,5,,5,5,,12,8
white margate,March,,5,25,8,,5,32,,11,31,2,11,11,9,1,,14,5,20,7,2,,,10,25,3,,22,37,,36,8,35,12,24,,,40,,22,,3,1,,48,,25,26,26,41,61,,86,,31,6,1,,,,14,34,2,,30,,38,18,,3,30,,,38,,,28,10,7,6,5,,15,20,3,5,,2,,22,15,,18,13
yellow goatfish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow jack,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,8,,,,
yellow jawfish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow stingray,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,2,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,1,3,1,,1,,,1,,1,1,1,,,,1,2,,,1,1,,,2,1,,,3,1,,1,1
yellowfin grouper,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowhead jawfish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowhead wrasse,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowtail damselfish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowtail goatfish,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowtail snapper,March,,5,,,,,1,,1,41,,,,,1,,20,3,,,33,11,,,,,,22,60,24,,1,28,,16,,,1,,2,,,6,2,15,3,1,2,6,6,12,,25,,,,4,,,,3,,2,,,,,1,,4,1,11,,,,1,,,1,,,,3,,,1,,32,,,1,,,
320-01-11,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
