Transect,ComName,Freq,TL
75,Yellowhead wrasse,2,12
75,Puddingwife,1,8
75,Slippery dick,3,8
77,Striped parrotfish,8,5
77,Striped parrotfish,4,12
77,Yellowhead wrasse,2,14
77,Yellowhead wrasse,1,10
77,Yellowhead wrasse,1,8
77,Yellowhead wrasse,1,13
77,Bluehead wrasse,1,12
77,Bluehead wrasse,1,13
77,Bluehead wrasse,1,10
77,Puddingwife,1,13
77,Puddingwife,1,10
77,Redband parrotfish,1,8
77,White grunt,3,15
77,White grunt,5,13
77,Grey angelfish,1,20
77,Nassau grouper,1,20
77,Lionfish,1,12
78,Yellowhead wrasse,1,4
78,Yellowhead wrasse,2,6
78,Yellowhead wrasse,2,3
78,Yellowhead wrasse,1,9
78,Yellowhead wrasse,1,6
78,Sharpnose pufferfish,1,9
78,Bluehead wrasse,2,6
78,Bluehead wrasse,1,8
78,Bluehead wrasse,1,7
78,Bluehead wrasse,1,4
78,Tomtate,1,2
78,Puddingwife,1,9
78,Stoplight parrotfish,1,7
78,Redband parrotfish,1,9
78,Blue chromis,1,4
78,Striped parrotfish,6,7
78,Bicolour damselfish,1,4
78,Graysby,1,6
78,Slippery dick,1,6
78,4-eye butterflyfish,1,2
79,Slippery dick,7,5
79,Slippery dick,1,3
79,Slippery dick,1,2
80,Slippery dick,2,4
80,Slippery dick,1,6
